,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
15,15,Yueyang,9.4,1537,41.36 ,0.15508,0.636514168,772.50515,258.317278,0.157409092,0,17.47278,1370.25,60,2,3,5.153291594,11.86221,8,NA,20.8
16,16,Yueyang,11.5,634,39.84 ,0.57938,1.33217904,1158.97433,517.9637,0.541929227,1.818417805,17.01722,1406.59998,50,2,2,5.043425117,15.7038,12,NA,20.9
17,17,Zhangjiajie,9.8,866,28.07 ,0.23811,0,451.87279,0,0.329501094,0,16.78778,1436.18335,40,1,2,6.552507887,8.66651,16,NA,13.7
18,18,Zhangjiajie,7,530,19.10 ,0.13269,0,451.8727899,0,0.156786732,0,15.78,1438.9834,40,5,5,529.9999999,1.79862,10,1,9.8
19,19,Zhangjiajie,10.2,2701,44.46 ,0.57797,0.223718076,1035.24009,258.317279,0.202693061,0,15.78611,1468.2666,80,5,2,6.728628613,59.59712,29,2,32.5
20,20,Yueyang,6.2,813,17.64 ,0.31481,0,776.92281,135.912186,0.373250668,0,17.53611,1381.94995,40,1,2,4.672828834,3.42194,5,NA,11.4
21,21,Zhangjiajie,8.5,239,24.88 ,0.23379,0,325.05003,0,0,0,15.81333,1471.96668,35,3,2,6.255750042,1.31589,4,NA,11.6
22,22,Zhangjiajie,10.5,373,36.62 ,0.388359999,0,650.1000597,135.912186,0.413369831,0,15.19445,1448.08337,55,5,5,700,6.20213,20,1,18.3
23,23,Zhangjiajie,6.9,1194,20.75 ,0.61196,0,650.10006,0,0,0,15.55556,1476.75,50,5,3,6.552507887,4.45276,5,NA,10.9
24,24,Zhangjiajie,6.2,843,22.76 ,0.10126,0,325.05003,0,0,0,16.84333,1378.5166,70,2,2,5.081404365,2.05916,5,NA,10.7
25,25,Xiangxi,8.2,500,22.03 ,0,0,325.05003,0,0,0,16.15056,1472.81665,70,3,2,6.364750757,4.36572,8,NA,11.8
26,26,Xiangxi,11.8,336,26.67 ,0,0,325.05003,0,0,0,16.24111,1468.9834,70,3,1,6.246106765,3.13972,5,NA,15.3
27,27,Zhangjiajie,7.7,2022,27.01 ,0.17106,0,451.87279,0,0.215868566,0,16.4,1456.51672,45,5,2,6.23636959,9.5616,7,NA,15.5
28,28,Zhangjiajie,11.7,1201,35.86 ,0.56479,0,650.10006,135.912186,0.087437408,0,16.07055,1441.25,70,5,5,6.329720906,13.70918,17,NA,17.3
29,29,Zhangjiajie,10.5,2642,36.10 ,0.50303,0,1061.2236,135.912186,0.264018272,0,15.40555,1485.41663,70,5,5,6.018593214,31.30027,22,NA,23.7
30,30,Xiangxi,9.2,530,27.80 ,0.24267,0,776.92281,135.912186,0.261080618,0,16.66333,1443.58325,80,5,5,6.17586727,4.53627,12,NA,14.7
31,31,Yueyang,11,403,36.98 ,0.74742,0.673011667,798.3214,176.143593,0.724770401,1.444982333,17.04722,1441.41663,70,1,3,5.525452939,9.20357,18,NA,22
32,32,Xiangxi,8.4,836,26.39 ,0.66962,0,1003.26481,135.912187,0.098044127,0,16.66333,1443.58325,60,5,2,6.216606101,5.29288,11,NA,13.6
33,33,Changde,8.9,530,35.03 ,0.142509999,0,650.1000597,0,0,0,15.99056001,1443.050051,65,2,3,279.9999999,3.1949,9,1,14.2
34,34,Yueyang,9.8,1530,29.84 ,0.03572,0,451.87279,0,0.031746249,0,16.94222,1490.73328,80,10,3,5.525452939,21.37724,18,NA,16.2
35,35,Yueyang,10.1,1493,22.06 ,0.0833,0,786.01224,135.912186,0.055058346,0,16.94222,1490.73328,65,2,3,5.564520407,18.41517,25,NA,13.9
36,36,Changde,11.5,1269,39.12 ,1.21089,0.598269589,927.05139,271.824372,0.548922754,1.079538582,16.20945,1442.03333,70,7,3,6.133398043,21.47929,14,NA,25.6
37,37,Yueyang,7.9,1373,24.10 ,0.84074,0.562335145,811.26583,271.824372,0.203911919,0.976622035,17.06278,1467.55005,40,2,3,5.860786223,12.01791,11,NA,14.2
38,38,Xiangxi,11.1,149,36.34 ,0.32508,0,325.05003,0,0,0,16,1471.69995,30,5,1,349.9999998,1.49144,10,1,14.9
39,39,Xiangxi,12.8,731,37.86 ,0.15201,0,325.05003,0,0,0,16.12,1495.5166,50,5,2,6.794586581,31.73647,17,NA,21.9
40,40,Yueyang,8.7,1761,26.57 ,0,0,325.05003,0,0,0,14.43833,1664.31665,80,10,3,5.673323267,11.30607,20,NA,14.7
41,41,Huaihua,8.5,754,39.28 ,0.85448,0,912.835,135.912187,0.315674956,0,16.54389,1432.84998,55,2,2,5.802118375,13.46244,13,NA,23.2
42,42,Yueyang,11.5,746,29.48 ,0.19757,0,451.87279,0,0.148325645,0,17.00222,1524.6167,70,10,2,6.469250317,14.48661,16,NA,17.7
43,43,Xiangxi,8.7,1500,33.22 ,0.26115,0,776.92281,0,0.043935436,0,16.60445,1423.34998,60,5,5,6.311734809,13.23615,12,NA,17.8
44,44,Xiangxi,11.1,679,37.24 ,1.21482,0,901.7978099,135.912186,0.271161756,0,16.85167,1444.65002,40,2,2,339.9999999,6.97117,15,1,17.2
45,45,Yueyang,10.2,1090,31.45 ,0.12713,0,776.92281,0,0,0,17.74389,1422.48328,80,1,2,4.262679877,29.20718,28,NA,22.8
46,46,Yueyang,11.6,485,27.18 ,0.43345,0,776.92281,135.912186,0.469591622,0,16.29,1584.23328,70,2,3,6.089044875,10.29321,15,NA,16
47,47,Changde,13.2,1127,33.91 ,0.24267,0,776.92281,0,0.144428285,0,17.63778,1365.94995,90,2,12,3.713572067,21.05894,10,NA,21.1
48,48,Yueyang,12,903,36.66 ,1.15257,0.410116318,925.14416,176.143593,1.608106707,0.737235884,17.74389,1422.48328,85,2,1,3.931825633,29.45977,16,NA,23.9
49,49,Yueyang,7,448,30.05 ,0,0,325.05003,0,0,0,15.93278,1574.3667,40,2,1,5.564520407,2.93373,5,NA,11.8
50,50,Yueyang,12.2,1597,26.73 ,0.54301,0.562335145,925.14416,176.143593,0.285112395,1.128892448,15.80778,1618.94995,45,2,2,5.484796933,26.06075,30,NA,20.3
51,51,Xiangxi,10.2,828,24.31 ,0,0,325.05003,0,0,0,15.93444,1432.93335,35,3,5,730.0000002,4.73917,15,1,14.5
52,52,Xiangxi,7,627,19.87 ,0,0,325.05003,0,0,0,16.76056001,1435.09998,50,5,5,335,0.89939,8,1,9.3
53,53,Huaihua,9.6,1627,43.89 ,0.56541,0.500402424,925.14416,148.221341,0.395487866,0.929999042,16.70833,1468.08337,60,2,1,5.993961427,19.84084,19,NA,26.2
54,54,Huaihua,12,552,34.56 ,0.3446,0,772.50515,135.912187,0,0,16.65556,1446.25,45,1,1,309.9999999,7.54451,18,1,19.2
55,55,Yueyang,7.5,485,17.55 ,0.25732,0,650.10006,135.912187,0,0,17.15056,1461.16663,60,3,2,5.017279837,7.92663,15,NA,10.8
56,56,Yueyang,9.3,90,25.08 ,0,0,325.05003,0,0,0,17.57110999,1483.68335,50,2,1,245,2.83037,10,1,11.8
57,57,Xiangxi,10.6,694,31.56 ,0.13579,0,451.87279,0,0.161389509,0,16.09222,1477.46668,50,11,4,6.66057515,13.35252,27,NA,17.7
58,58,Xiangxi,22.6,843,24.67 ,0.17633,0,650.10006,0,0,0,15.98333,1474.58337,60,6,6,6.746412129,55.04336,35,NA,31.5
59,59,Changde,11.2,836,34.00 ,0.43732,0.693147181,908.41734,271.824373,0.153525215,0,17.35222,1400.30005,50,3,5,5.081404365,13.71393,15,NA,18.1
60,60,Yueyang,10,545,40.09 ,1.22466,0.848685558,1049.23659,382.97238,1.328560428,1.397624567,16.90667,1499.84998,60,2,1,4.94875989,21.78196,18,NA,22.4
61,61,Yueyang,12,1910,37.12 ,0.54865,0,776.92281,0,0.152438979,0,16.90667,1499.84998,60,2,1,5.303304908,23.09219,20,NA,20.6
62,62,Xiangxi,14.6,104,28.97 ,0,0,325.05003,0,0,0,16.145,1454.5,40,3,4,850.0000004,2.81131,13,1,19
63,63,Xiangxi,13.7,821,49.00 ,1.17168,0,786.01224,135.912186,1.251599907,0,15.56945,1500.31665,40,10,4,6.042632834,16.14515,26,NA,21.7
64,64,Yiyang,7.8,1022,36.23 ,0.49696,0,650.10006,135.912187,0,0,17.40611,1393.5166,60,2,2,4.795790546,12.05052,20,NA,20.7
65,65,Xiangxi,9.9,545,28.60 ,0.45814,0,374.9866401,0,1.192601237,0,16.145,1454.5,60,5,3,735.0000002,4.45005,16,1,15.4
66,66,Yiyang,10.8,1060,44.86 ,0.72955,1.090059659,1028.62057,387.609937,0.516546717,1.302162713,17.34556,1404.31665,70,3,4,4.110873864,11.71605,13,NA,27
67,67,Yueyang,6.4,522,22.83 ,0.12974,0,650.10006,135.912187,0,0,16.90667,1499.84998,50,2,1,5.484796933,1.89122,5,NA,12.5
68,68,Yueyang,13.6,1828,39.31 ,0.70383,0.636514168,1028.62057,251.697751,0.235381335,0,16.84222,1582.96668,70,2,3,5.958424693,58.13266,18,2,36.2
69,69,Changsha,10.1,821,32.47 ,1.02063,0.801818553,1061.82282,395.558608,1.234954182,1.396798805,17.66111,1433.41663,80,10,10,4.356708827,26.06796,18,NA,19.8
70,70,Xiangxi,8.4,896,57.21 ,0.50626,0,776.92281,0,0.321813675,0,16.62722,1454.1167,50,13,3,6.431331082,20.51252,11,NA,53.7
71,71,Huaihua,8.1,910,24.48 ,0.12832,0,374.98664,0,0.229849988,0,17.175,1463.41675,45,1,3,5.351858133,5.26207,12,NA,12.4
72,72,Huaihua,11.5,1396,36.49 ,0.28686,0,786.01224,135.912187,0,0,15.98333,1481.30005,50,5,4,5.96870756,29.36968,14,2,20.5
73,73,Yiyang,16.3,1642,43.19 ,1.1907,0.529706199,938.08858,271.824373,0.518962738,0.913724612,15.61556,1510.69995,30,2,2,6.11146734,51.62824,33,NA,30.1
74,74,Changsha,7.5,1731,31.82 ,0.28431,0,900.65705,135.912186,0.17103604,0,17.11889,1499.75,80,3,2,5.332718793,21.66287,15,NA,19.6
75,75,Yiyang,9.3,1485,38.39 ,1.20324,0.693147181,1035.24009,258.317278,0.656955025,0,16.21556,1493.31665,60,2,3,6.216606101,23.40978,23,NA,19.3
76,76,Yiyang,13.2,463,26.99 ,0.51958,0,451.87279,0,0.924721745,0,16.66555,1438.59998,60,5,5,5.252273428,12.88752,17,NA,22
77,77,Yiyang,10.4,590,28.67 ,0.82252,0.562335145,1035.24009,258.317278,0.866397647,0,17.28444,1409.033329,65,3,2,100,4.37315,17,1,18.4
78,78,Yiyang,10.8,955,39.26 ,1.13862,0.974314753,1060.49367,394.229464,1.073993376,1.295446299,17.28444,1409.03333,90,2,2,4.394449155,14.01873,18,NA,21
79,79,Changsha,10,1881,37.73 ,0.83675,0,826.85943,135.912186,1.236213657,0,17.66111,1433.41663,80,10,15,4.532599493,45.68296,16,NA,21.6
80,80,Changsha,8.5,2410,34.77 ,0.4731,0,776.92281,135.912186,0.588186906,0,17.79667,1407.33337,90,1,1,4.262679877,30.35726,8,2,22.1
81,81,Huaihua,9.6,2172,27.88 ,0.80438,0.684954761,1100.72508,402.618224,0.793198189,0.580827297,15.515,1502.6333,80,7,5,6.431331082,19.56909,16,NA,16.9
82,82,Yiyang,12.8,754,42.38 ,1.03173,0,912.835,135.912187,0.321813675,0,16.63167,1448.09998,50,3,2,290,9.63914,23,1,21.1
83,83,Yiyang,8.1,224,38.66 ,0.18491,0,451.87279,0,0.238301697,0,16.72889,1445.80005,40,5,3,5.141663557,3.39556,12,NA,17.2
84,84,Yiyang,11.6,1246,38.68 ,0.40275,0,451.87279,0,0.57013357,0,16.96722,1416.65002,120,4,7,5.638354669,46.41396,21,2,25.9
85,85,Yiyang,8.7,903,29.61 ,0.26468,0,889.61986,135.912186,0.053338309,0,16.94278,1420.56665,70,2,2,4.795790546,16.33006,12,NA,22.7
86,86,Yiyang,11.1,425,33.01 ,0.19973,0,650.10006,135.912186,0.128190069,0,16.63444,1436.6333,70,2,1,5.198497031,14.8189,17,NA,20.8
87,87,Changsha,7.7,1627,26.26 ,0.21473,0,776.92281,135.912186,0.202815551,0,17.53056,1450.83337,70,10,10,4.615120517,5.92703,10,NA,13.7
88,88,Changsha,8.8,1963,34.36 ,0.91204,1.039720771,1152.3548,375.431987,0.696710278,1.91818405,15.98778,1622.84998,60,2,3,6.054439346,18.99136,11,NA,20.4
89,89,Xiangxi,6.4,209,14.88 ,0,0,325.05003,0,0,0,15.07667,1453.33337,25,3,1,799.9999999,0.25546,6,1,7.9
90,90,Zhangjiajie,10.1,933,37.27 ,0.79237,0,811.26583,135.912186,0.162282907,0,16.67167,1397.96668,80,2,1,6.508769137,5.51905,12,NA,17.5
91,91,Yiyang,12.4,1716,27.23 ,0.35326,0,650.10006,0,0,0,16.26889,1469.81665,70,3,2,5.888877958,21.8601,24,NA,18.4
92,92,Yiyang,8,918,32.27 ,0.11336,0,650.10006,135.912187,0,0,16.37389,1445.94995,90,4,3,5.198497031,23.31178,18,NA,21.7
93,93,Xiangxi,11.4,746,35.32 ,0.22454,0,776.92281,0,0.090012477,0,15.55111,1371.69995,50,5,2,6.431331082,11.74449,12,NA,19.2
94,94,Yiyang,8.9,701,44.82 ,0.63895,0,1035.24009,135.912187,0.553200368,0,16.63333,1448.41675,70,3,2,5.707110265,12.58187,5,NA,24.5
95,95,Yiyang,7,410,37.00 ,0.25729,0,776.92281,0,0.20693737,0,16.76611,1432.66663,60,2,2,5.602118821,6.58444,9,NA,23.2
96,96,Yiyang,8.4,896,26.00 ,0,0,325.05003,0,0,0,16.06722,1456.84998,50,2,2,5.017279837,14.49354,12,NA,15.4
97,97,Changsha,9.9,1067,28.66 ,1.04821,1.115065984,1023.16832,324.364935,0.508455674,1.459930664,17.49167,1496.84998,80,2,1,6.216606101,24.14667,18,NA,17.3
98,98,Huaihua,6.1,112,12.51 ,0.5004,0,451.8727899,0,0.878765876,0,15.56999999,1508.699949,30,4,1,439.9999998,0.24685,5,1,7.7
99,99,Huaihua,12.9,1963,36.54 ,0.79915,0,1035.24009,135.912187,1.039974096,0,15.47778,1501.78333,90,2,1,6.608000625,34.72329,19,NA,23.3
100,100,Yiyang,10.1,470,26.33 ,0.12602,0,650.10006,135.912187,0,0,14.96,1543.5166,50,5,3,6.508769137,11.06764,19,NA,15.9
101,101,Yiyang,10.3,306,31.29 ,0.9027,0,786.01224,135.912187,0,0,15.69945,1492.94995,50,5,3,6.329720906,8.85788,15,NA,17.6
102,102,Yiyang,9.9,1821,30.94 ,0,0,325.05003,0,0,0,16.79944,1441.7666,85,3,5,5.707110265,19.50813,7,2,16.2
103,103,Huaihua,11.9,1000,41.71 ,0.40366,0,912.835,135.912186,0.304267344,0,16.75167,1455.1333,50,5,3,5.755742214,18.18265,22,NA,24.3
104,104,Huaihua,10.4,522,25.98 ,0.86068,0,776.92281,0,0.171455361,0,15.57,1508.69995,45,4,3,5.942799375,5.91092,10,NA,14.2
105,105,Yiyang,8.8,530,46.08 ,0.759550001,0,786.01224,0,0,0,16.76611,1432.666631,50,3,2,309.9999999,1.16503,5,1,18.5
106,106,Yiyang,10.9,2045,25.80 ,0.27723,0,772.50515,135.912187,0,0,15.79056,1510.68335,85,3,4,5.860786223,24.57485,28,NA,16.7
107,107,Changsha,10,1410,36.31 ,0.36475,0.900256051,889.61986,375.431987,0.162217709,1.668509713,17.75611,1415.43335,80,2,1,4.615120517,10.74871,12,NA,18.5
108,108,Changsha,9,2201,25.75 ,0.0604,0.693147181,772.50515,258.317278,0.026163086,0,17.81167,1425.58337,80,2,1,4.709530201,18.53021,25,NA,14.3
109,109,Changsha,10.5,2127,23.69 ,0.2624,0,776.92281,0,0.265724476,0,17.57111,1481.94995,80,3,1,4.875197323,27.8728,20,NA,13.6
110,110,Yiyang,9.3,1821,32.84 ,0.34639,0,908.41734,135.912187,0,0,16.56167,1448.28333,60,8,4,5.96870756,13.84002,15,NA,16.7
111,111,Changsha,10.5,828,31.67 ,0.58557,0,776.92281,135.912186,0.749186419,0,17.88833,1422.08337,80,2,2,4.454347296,17.77072,21,NA,15
112,112,Xiangxi,8.3,597,28.33 ,0,0,325.05003,0,0,0,16.61889,1387.69995,70,3,4,6.56667243,3.94068,14,NA,14
113,113,Changsha,5,873,24.26 ,0,0,325.05003,0,0,0,16.01389,1498.51672,95,5,1,5.942799375,3.99747,3,NA,14.6
114,114,Changsha,6.8,507,13.06 ,0,0,325.05003,0,0,0,17.48667,1489.8667,80,2,1,130,0.93985,9,1,8
115,115,Huaihua,11.8,1060,34.94 ,0.87643,0,892.4129,0,0,0,16.68222,1453.46668,55,10,5,5.916202063,17.77656,14,NA,25.3
116,116,Huaihua,13,493,40.22 ,0,0,325.05003,0,0,0,16.08722,1475.6333,40,4,2,5.96870756,11.46444,24,NA,25
117,117,Xiangxi,6,478,16.78 ,0,0,325.05003,0,0,0,17.14111001,1394.30005,30,2,1,409.9999998,0.37441,8,1,7.8
118,118,Changsha,5.7,1597,24.54 ,0.45916,0.759547391,912.96621,299.877829,0.298828818,1.213449841,17.935,1455.8833,80,10,25,4.189654742,12.74862,9,NA,12.8
119,119,Changsha,11.1,545,26.57 ,0.05423,0,650.10006,135.912186,0.052322533,0,16.96778,1538.16663,80,2,2,5.398162702,16.74857,22,NA,16
120,120,Changsha,7,948,18.90 ,0.54836,0.178844913,900.65705,259.646422,0.992998784,0.319092999,17.08278,1541.56665,80,20,20,5.673323267,8.06429,8,NA,11.2
121,121,Huaihua,10.2,2142,36.21 ,0.86364,0.500402424,912.835,271.824373,1.303745882,0,16.59889,1430.16675,85,3,4,6.329720906,50.45823,22,NA,21.8
122,122,Loudi,14,910,26.86 ,0.56496,0.636514168,899.32791,258.317278,0.223458328,0,14.895,1536.73328,80,7,4,5.942799375,16.40254,35,NA,18.3
123,123,Loudi,12.8,351,43.78 ,0.731519999,0.636514168,786.01224,271.824373,0.270028921,0,15.93,1491.69995,70,3,3,529.9999999,5.71554,17,1,20.4
124,124,Xiangtan,10.1,2552,26.27 ,0.10035,0,650.10006,135.912186,0.025839549,0,17.66166,1445.46668,90,10,5,5.081404365,22.04956,12,NA,14.7
125,125,Xiangxi,8.2,1231,40.21 ,0.18703,0,451.87279,0,0.241790611,0,16.70833,1361.44995,70,3,5,6.216606101,11.49548,7,NA,29.1
126,126,Huaihua,12.6,903,40.69 ,0.33481,0,451.87279,0,0.513869553,0,16.39667,1448.19995,50,7,4,5.993961427,32.43316,22,NA,25
127,127,Loudi,11.5,933,35.62 ,0.26267,0,451.87279,0,0.374150155,0,14.895,1536.73328,75,5,3,6.431331082,15.83815,27,NA,19.8
128,128,Xiangtan,10.8,1634,25.47 ,0,0,325.05003,0,0,0,17.77333,1436.3833,90,10,5,5.017279837,22.55794,19,NA,17.2
129,129,Xiangtan,9.3,1030,28.94 ,0.12934,0,776.92281,135.912186,0.110088898,0,17.66166,1445.46668,80,1,3,4.905274778,16.11872,18,NA,16.9
130,130,Huaihua,7.1,3119,26.39 ,0.19701,0,826.85943,135.912187,0.164034776,0,16.59889,1430.16675,70,3,4,5.739792912,16.80462,8,NA,15.1
131,131,Loudi,6.7,1209,29.08 ,0,0,325.05003,0,0,0,14.895,1536.73328,75,6,3,6.621405652,2.045,6,NA,14.1
132,132,Changsha,12,1769,39.88 ,0.46601,0,462.76318,0,0.344407218,0,17.64,1432.6167,90,8,8,5.198497031,29.61796,28,NA,22.1
133,133,Xiangtan,11.3,888,36.89 ,0.71899,0,912.835,135.912186,1.031872281,0,17.77333,1436.3833,90,1,3,4.477336814,20.02098,22,NA,20.8
134,134,Changsha,12,672,29.54 ,0.46955,0.376770161,786.01224,271.824372,0.939437256,0.578565209,17.98111,1456.8667,80,1,3,4.262679877,15.68735,24,NA,16.5
135,135,Changsha,6.4,463,24.30 ,0.73714,0,776.92281,135.912186,1.178145761,0,17.92333,1464.06665,80,3,1,4.875197323,7.27826,9,NA,12.5
136,136,Loudi,7,1537,33.78 ,0,0,325.05003,0,0,0,14.58778,1521.53333,73,5,3,6.825460036,6.66193,9,NA,19
137,137,Xiangxi,11.4,1410,39.02 ,1.03548,1.149059697,786.49225,361.886467,1.0051395,2.41088463,17.155,1329.09998,14,3,10,5.707110265,11.53958,13,NA,20.9
138,138,Loudi,6.2,1231,16.92 ,0.64487,0,776.9228098,135.912186,0.841712288,0,14.58778,1521.53333,70,3,2,660.0000001,2.3566,9,1,9.4
139,139,Loudi,14,1970,34.27 ,0.70299,0,776.92281,135.912187,1.24802846,0,16.14667,1504.9834,75,1,8,6.523562306,39.05354,20,NA,18.4
140,140,Changsha,7.1,1545,18.59 ,0,0,325.05003,0,0,0,17.11444,1487.5,60,8,4,5.993961427,3.41508,7,NA,11.6
141,141,Zhuzhou,8,821,25.75 ,0.51818,0,776.92281,0,0.393952912,0,17.06056,1522.43335,50,5,3,5.081404365,9.75609,15,NA,14.5
142,142,Xiangxi,11,463,24.11 ,0.14614,0,451.87279,0,0.176973683,0,17.155,1329.09998,55,3,10,5.860786223,9.9265,13,NA,15.7
143,143,Huaihua,9.3,2052,26.62 ,0.87593,0.679193266,908.41734,258.317279,0,0,14.18,1553.78333,60,1,1,5.96870756,11.75657,10,NA,13.5
144,144,Loudi,11.4,1112,30.57 ,0.39419,0,374.98664,0,0.40062375,0,14.58778,1521.53333,70,2,1,6.56667243,13.21048,14,NA,19.9
145,145,Zhuzhou,9.8,1149,23.80 ,0.34611,0.655975732,798.3214,312.055779,0.428080799,0.900592359,18.00944,1472.56665,70,1,2,4.060443011,16.96084,15,NA,13.8
146,146,Huaihua,10.8,828,31.64 ,0,0,325.05003,0,0,0,17.03556,1303.15002,75,3,2,6.018593214,11.00406,24,NA,17.6
147,147,Loudi,11.5,1164,34.87 ,0.09727,0,451.87279,0,0.106604526,0,16.06944,1473.23328,40,1,1,5.986452005,17.3314,18,NA,19.8
148,148,Xiangxi,11.8,701,39.82 ,0.32112,0,650.10006,0,0,0,16.145,1321.79993,60,6,10,6.523562306,12.77682,14,NA,22.5
149,149,Huaihua,7.2,2104,24.48 ,0.11925,0,451.87279,0,0.137216894,0,17.03778,1361.05005,81,20,3,5.484796933,7.00183,6,NA,13.8
150,150,Huaihua,10.5,1097,32.41 ,0.26482,0,451.87279,0,0.378131618,0,16.73889,1413.34998,85,2,3,5.860786223,21.27987,15,NA,19.2
151,151,Loudi,14,925,35.23 ,0.23008,0,780.92772,135.912187,0.172571287,0,13.27222,1625.4834,100,5,1,6.957497371,21.07574,22,NA,22.5
152,152,Loudi,13,1418,36.57 ,0.59354,0.687092027,907.71667,298.548685,0.276578123,0.581404015,16.06944,1473.23328,60,2,2,5.638354669,22.97413,19,NA,18.4
153,153,Huaihua,13,448,4.10 ,0,0,325.05003,0,0,0,16.565,1308.33337,50,3,3,399.9999999,6.98446,15,1,13
154,154,Xiangtan,8.5,1493,41.36 ,0.86664,0.943348392,1152.3548,375.431987,0.281786389,0.938700281,17.98056,1463.96668,80,2,3,4.189654742,28.94636,13,NA,23.3
155,155,Zhuzhou,9.9,2015,41.55 ,0.65962,0.721463687,1023.88818,371.98715,0.719506689,1.283071891,18.03444,1481.16663,84,2,2,4.510859507,34.52572,26,NA,23.4
156,156,Huaihua,9,515,27.28 ,0.21456,0,650.10006,135.912187,0,0,17.03889,1304.5,85,5,4,5.375278408,3.52691,5,NA,13.9
157,157,Loudi,10,2209,24.83 ,0.2542,0,776.92281,135.912187,0.268991186,0,15.94611,1456.4834,85,2,5,6.293419279,20.08927,17,NA,13.7
158,158,Loudi,12,1097,41.61 ,0.28496,0,462.76318,0,0.123356949,0,15.94611,1456.4834,52,1,1,6.398594935,18.67605,25,NA,23.9
159,159,Huaihua,10.1,1903,31.32 ,0.11787,0,772.50515,135.912187,0,0,16.70889,1387.28333,60,3,2,6.398594935,21.12885,14,NA,23.4
160,160,Huaihua,13.2,642,36.77 ,0.80393,0.636514168,785.31157,176.143593,1.157524257,0.581404015,16.76278,1401.2666,65,2,3,6.329720906,46.9847,18,2,26.3
161,161,Huaihua,13.2,269,35.11 ,0.31449,0,451.8727899,0,0.473258267,0,16.32389,1429.75,70,2,2,620,7.45867,16,1,19.5
162,162,Huaihua,14,560,37.70 ,0.36221,0,451.87279,0,0.57013357,0,13.55389,1590.71668,70,2,2,6.398594935,14.21968,23,NA,20.6
163,163,Loudi,11.4,918,38.61 ,0,0,325.05003,0,0,0,13.45778,1601.0166,60,5,3,7.244941546,18.29347,26,NA,23.2
164,164,Zhuzhou,11.3,455,33.53 ,0.98268,0,784.03435,135.912187,1.343933108,0,17.97278,1480.19995,60,3,2,4.615120517,11.77045,27,NA,19.2
165,165,Huaihua,12.6,269,46.44 ,0.20619,0,650.10006,135.912187,0,0,16.56222,1331.46668,60,6,3,5.564520407,5.54692,11,NA,21.1
166,166,Huaihua,10.3,761,37.86 ,0.96462,0,765.88562,135.912186,0.383074499,0,15.84667,1389.4834,65,5,3,6.216606101,10.10533,4,NA,21.6
167,167,Huaihua,16.4,1828,54.12 ,0.92601,1.088899975,924.25442,292.522288,0.536125032,1.763939819,15.65611,1440.58325,60,3,2,6.88857246,31.60744,23,NA,35.4
168,168,Shaoyang,11.8,1030,24.51 ,0,0,325.05003,0,0,0,16.02222,1441.83337,80,5,2,6.293419279,23.89874,17,NA,16.9
